source	sourceTitle	target	targetTitle
Lucina Q. Uddin	edu	Vinod Menon	orig
Lucina Q. Uddin	edu	Michael Milham	-
Lucina Q. Uddin	edu	Zarrar Shehzad	-
Lucina Q. Uddin	edu	Manish Saggar	orig
F. Xavier Castellanos	-	Lucina Q. Uddin	edu
F. Xavier Castellanos	-	Theodore D. Satterthwaite	orig
Daniel S. Margulies	-	Lucina Q. Uddin	edu
Daniel S. Margulies	-	Theodore D. Satterthwaite	orig
Adriana Di Martino, MD	-	Lucina Q. Uddin	edu
Adriana Di Martino, MD	-	Theodore D. Satterthwaite	orig
Anouk Scheres	-	Lucina Q. Uddin	edu
Anouk Scheres	-	Brian Knutson	orig
Tommaso Scalici	-	Vincenzo Fiore	orig
Guido Di Bella	-	Vincenzo Fiore	orig
Luigi Calabrese	-	Vincenzo Fiore	orig
Edoardo Proverbio	-	Vincenzo Fiore	orig
Luigi Botta	-	Vincenzo Fiore	orig
Roberto Scaffaro	-	Vincenzo Fiore	orig
Fabrizio Sarasini	-	Vincenzo Fiore	orig
Paolo Bruzzaniti	-	Vincenzo Fiore	orig
Antonina Pirrotta	-	Vincenzo Fiore	orig
Mauro Prestipino	-	Vincenzo Fiore	orig
Francesco Paolo Pinnola	-	Vincenzo Fiore	orig
Alessia Monaco	-	Vincenzo Fiore	orig
Maria Chiara Mistretta	-	Vincenzo Fiore	orig
Giuseppe Pitarresi	-	Vincenzo Fiore	orig
Dr.TPSathishkumar	-	Vincenzo Fiore	orig
Dr.Vaggeeram Hariharan	-	Vincenzo Fiore	orig
Dr.G.RAJESHKUMAR	-	Vincenzo Fiore	orig
Marco Morreale	-	Vincenzo Fiore	orig
Pellegrino Conte	-	Vincenzo Fiore	orig
Francesco Paolo La Mantia	-	Vincenzo Fiore	orig
Pietro Tabbuso	-	Vincenzo Fiore	orig
Andrea Feo	-	Vincenzo Fiore	orig
Eric Halgren	com	Wilson Truccolo	orig
Eric Halgren	com	Thomas Thesen	edu
Michael S Landy	edu	Nathaniel D. Daw	orig
Nathaniel D. Daw	orig	Yael Niv	edu
Nathaniel D. Daw	orig	Raymond J Dolan	uk
Nathaniel D. Daw	orig	Samuel Gershman	edu
Nathaniel D. Daw	orig	Ross Otto	ca
Nathaniel D. Daw	orig	Prof. T.W. Robbins	uk
Nathaniel D. Daw	orig	Sham M Kakade	-
Nathaniel D. Daw	orig	Valerie Voon	-
Nathaniel D. Daw	orig	Roshan Cools	nl
Nathaniel D. Daw	orig	Steve Fleming	uk
Russ Poldrack	edu	Tim Behrens	uk
Michael J Frank	orig	Russ Poldrack	edu
Michael J Frank	orig	Roshan Cools	nl
Michael J Frank	orig	Randall O'Reilly	-
Michael J Frank	orig	james m. gold	-
Michael J Frank	orig	Thomas Wiecki	-
Michael J Frank	orig	Quentin Huys	-
Michael J Frank	orig	Tiago V. Maia	-
Michael J Frank	orig	Mike X Cohen	-
Michael J Frank	orig	Nathaniel D. Daw	orig
Steven Siegel	-	Theodore D. Satterthwaite	orig
James L. McClelland	edu	Surya Ganguli	orig
James L. McClelland	edu	Randall O'Reilly	-
James L. McClelland	edu	axel cleeremans	-
James L. McClelland	edu	Tiago V. Maia	-
Caglar Gulcehre	-	Surya Ganguli	orig
Caglar Gulcehre	-	Kyunghyun Cho	edu
Avram Holmes	edu	Randy L. Buckner	-
Avram Holmes	edu	Justin T. Baker	-
Avram Holmes	edu	Cameron S. Carter	-
Avram Holmes	edu	Jonathan D. Cohen	orig
Avram Holmes	edu	Xi-Nian Zuo (左西年)	-
Anne K. Churchland	edu	Matthew T Kaufman	edu
Anne K. Churchland	edu	Rishidev Chaudhuri	-
Anne K. Churchland	edu	Xiao-Jing Wang	orig
Edward T Bullmore	uk	John Suckling	-
Edward T Bullmore	uk	Prof. T.W. Robbins	uk
Edward T Bullmore	uk	Paul Fletcher	uk
Edward T Bullmore	uk	Petra E Vértes	-
Edward T Bullmore	uk	Pradeep J. Nathan	-
Edward T Bullmore	uk	Katya Rubia	-
Edward T Bullmore	uk	Richard Betzel	orig
Edward T Bullmore	uk	Philip Corlett	orig
Randy L. Buckner	-	Theodore D. Satterthwaite	orig
Justin T. Baker	-	Theodore D. Satterthwaite	orig
Cameron S. Carter	-	Michael J Frank	orig
Bradley Voytek	orig	Robert Thomas Knight	edu
Bradley Voytek	orig	Richard Gao	-
Bradley Voytek	orig	Scott Robert Cole	-
Bradley Voytek	orig	Nathan E. Crone, M.D.	-
Bradley Voytek	orig	Thomas Donoghue	-
Bradley Voytek	orig	Marianne Løvstad	-
Bradley Voytek	orig	Tor Endestad	-
Bradley Voytek	orig	Mark D'Esposito	-
Bradley Voytek	orig	Priscilla Davidson Negraes	-
Bradley Voytek	orig	Paroma Varma	-
Bradley Voytek	orig	Michael Bauer	-
Bradley Voytek	orig	Ryan T. Canolty	-
Bradley Voytek	orig	Josef Parvizi	edu
Bradley Voytek	orig	Camarin E. Rolle	-
Bradley Voytek	orig	Edward F Chang	-
Bradley Voytek	orig	Cleber A. Trujillo	-
Bradley Voytek	orig	Jason Samaha	edu
Nathan E. Crone, M.D.	-	Robert Thomas Knight	edu
Adam Gazzaley	edu	Bradley Voytek	orig
Adam Gazzaley	edu	Jason Samaha	edu
Adam Gazzaley	edu	Mark D'Esposito	-
Anne-Kristin Solbakk	-	Bradley Voytek	orig
Mark D'Esposito	-	Michael W. Cole	edu
Mark D'Esposito	-	Roshan Cools	nl
Mark D'Esposito	-	Robert Thomas Knight	edu
Alysson Muotri	-	Bradley Voytek	orig
Arthur Brody	-	Bradley Voytek	orig
Josef Parvizi	edu	Sabine Kastner	edu
Edward F Chang	-	Robert Thomas Knight	edu
Alfonso Renart	-	Xiao-Jing Wang	orig
Xiao-Jing Wang	orig	ranulfo romo	-
John D. Murray	orig	Xiao-Jing Wang	orig
John D. Murray	orig	Michael W. Cole	edu
John D. Murray	orig	John Krystal	edu
John D. Murray	orig	Philip Corlett	orig
John D. Murray	orig	Joshua B Burt	-
John D. Murray	orig	Murat Demirtaş	-
John D. Murray	orig	Matthew F. Glasser	-
John D. Murray	orig	Katrin Preller	-
John D. Murray	orig	Markus Helmer	-
John D. Murray	orig	Vinod Srihari	-
John D. Murray	orig	Maxwell Shinn	-
John D. Murray	orig	Stamatios N Sotiropoulos	-
John D. Murray	orig	Joni Wallis	-
John D. Murray	orig	Tatiana Pasternak	-
John D. Murray	orig	William J. Martin, PhD	-
John D. Murray	orig	Mark J. Niciu	-
John D. Murray	orig	Jorge F. Mejias	-
John D. Murray	orig	Valerio Zerbi	-
John D. Murray	orig	Laurence Hunt	-
John D. Murray	orig	Sean Cavanagh	-
John D. Murray	orig	Shaun Warrington	-
John D. Murray	orig	Steve Kennerley	-
John D. Murray	orig	Michael Halassa	-
John D. Murray	orig	Salva Ardid	-
John D. Murray	orig	Nicholas A. Roy	-
John Krystal	edu	Xiao-Jing Wang	orig
John Krystal	edu	Philip Corlett	orig
Alan Anticevic	orig	Xiao-Jing Wang	orig
Alan Anticevic	orig	Michael W. Cole	edu
Alan Anticevic	orig	John D. Murray	orig
Alan Anticevic	orig	Grega Repovš	si
Alan Anticevic	orig	John Krystal	edu
Alan Anticevic	orig	Genevieve Yang	-
Alan Anticevic	orig	Deanna Barch	-
Alan Anticevic	orig	Philip Corlett	orig
Alan Anticevic	orig	Matthew F. Glasser	-
Alan Anticevic	orig	Christopher Pittenger	-
Alan Anticevic	orig	James C. McPartland	-
Alan Anticevic	orig	David C Van Essen	-
Alan Anticevic	orig	Anderson M. Winkler	-
Alan Anticevic	orig	Ralitza Gueorguieva	-
Alan Anticevic	orig	dennis charney	-
Alan Anticevic	orig	Carrie Bearden	edu
Alan Anticevic	orig	Jared Van Snellenberg	-
Alan Anticevic	orig	Tyrone Cannon	-
Alan Anticevic	orig	Stamatios N Sotiropoulos	-
Alan Anticevic	orig	Marina Picciotto	-
Albert Compte	-	Xiao-Jing Wang	orig
Gyorgy Buzsaki	org	Xiao-Jing Wang	orig
Gyorgy Buzsaki	org	Thomas Thesen	edu
Daeyeol Lee	-	Xiao-Jing Wang	orig
Daeyeol Lee	-	John D. Murray	orig
Stefano Fusi	-	Xiao-Jing Wang	orig
Grega Repovš	si	Xiao-Jing Wang	orig
Grega Repovš	si	Michael W. Cole	edu
Grega Repovš	si	John D. Murray	orig
Grega Repovš	si	Matthew F. Glasser	-
Grega Repovš	si	Jonathan Power	-
Grega Repovš	si	Michael Cole	-
Grega Repovš	si	Jared Van Snellenberg	-
Grega Repovš	si	Guangyu Robert Yang 杨光宇	-
Grega Repovš	si	Philip Corlett	orig
Genevieve Yang	-	Xiao-Jing Wang	orig
Genevieve Yang	-	Michael W. Cole	edu
Genevieve Yang	-	John D. Murray	orig
Alberto Bernacchia	-	Xiao-Jing Wang	orig
Alberto Bernacchia	-	John D. Murray	orig
Michael W. Cole	edu	Xiao-Jing Wang	orig
Michael W. Cole	edu	Philip Corlett	orig
Michael W. Cole	edu	Steve Petersen	-
Chung-Chuan Lo	-	Xiao-Jing Wang	orig
Rishidev Chaudhuri	-	Xiao-Jing Wang	orig
David J. Freedman	-	Xiao-Jing Wang	orig
David J. Freedman	-	John D. Murray	orig
H Francis Song	-	Xiao-Jing Wang	orig
Jesper Tegnér	-	Xiao-Jing Wang	orig
Paul Miller	-	Xiao-Jing Wang	orig
Henry Kennedy	-	Xiao-Jing Wang	orig
Henry Kennedy	-	John D. Murray	orig
Jascha Sohl-Dickstein	-	Surya Ganguli	orig
Ben Poole	-	Surya Ganguli	orig
Niru Maheswaranathan	-	Surya Ganguli	orig
Subhaneil Lahiri	-	Surya Ganguli	orig
Haim Sompolinsky	-	Surya Ganguli	orig
Razvan Pascanu	-	Surya Ganguli	orig
Kyunghyun Cho	edu	Surya Ganguli	orig
Kyunghyun Cho	edu	Yoshua Bengio	-
Kyunghyun Cho	edu	Razvan Pascanu	-
Jonathan Kadmon	-	Surya Ganguli	orig
Kiah Hardcastle	-	Surya Ganguli	orig
Alex H Williams	-	Surya Ganguli	orig
Sam Ocko	-	Surya Ganguli	orig
David Sussillo	com	Surya Ganguli	orig
David Sussillo	com	Matthew T Kaufman	edu
David Sussillo	com	Jascha Sohl-Dickstein	-
David Sussillo	com	Niru Maheswaranathan	-
Richard Hahnloser	-	Surya Ganguli	orig
Saurabh Vyas	-	Surya Ganguli	orig
Mark J. Schnitzer	-	Surya Ganguli	orig
James A Waltz	-	Michael J Frank	orig
Yael Niv	edu	Yuan Chang Leong	-
Ben Seymour	uk	Nathaniel D. Daw	orig
Ben Seymour	uk	Samuel Gershman	edu
Ben Seymour	uk	Raymond J Dolan	uk
Ben Seymour	uk	John P. O'Doherty	-
Ben Seymour	uk	Chris Frith	uk
Ben Seymour	uk	Karl Friston	-
Ben Seymour	uk	Yael Niv	edu
Ben Seymour	uk	Deborah Talmi	-
Ben Seymour	uk	Thomas FitzGerald	-
Daphna Shohamy	-	Nathaniel D. Daw	orig
Raymond J Dolan	uk	Samuel Gershman	edu
Raymond J Dolan	uk	Steve Fleming	uk
Elizabeth Phelps	-	Nathaniel D. Daw	orig
Elizabeth Phelps	-	Ross Otto	ca
Elizabeth Phelps	-	Yael Niv	edu
John P. O'Doherty	-	Nathaniel D. Daw	orig
David Touretzky	-	Nathaniel D. Daw	orig
Aaron Courville	-	Nathaniel D. Daw	orig
Aaron Courville	-	Kyunghyun Cho	edu
Samuel Gershman	edu	Yael Niv	edu
Ross Otto	ca	Samuel Gershman	edu
Ross Otto	ca	W. Todd Maddox	-
Prof. T.W. Robbins	uk	Roshan Cools	nl
Prof. T.W. Robbins	uk	Ulrich Müller-Sedgwick	-
Prof. T.W. Robbins	uk	Valerie Voon	-
Bradley Doll	-	Nathaniel D. Daw	orig
Bradley Doll	-	Michael J Frank	orig
Claire M. Gillan	-	Nathaniel D. Daw	orig
Claire M. Gillan	-	Ross Otto	ca
