source	sourceTitle	target	targetTitle
Michele A Basso	edu	Piercesare Grimaldi	edu
Eric Halgren	com	Megan A. K. Peters	orig
Eric Halgren	com	Thomas Thesen	edu
Benjamin Thompson	ca	Megan A. K. Peters	orig
Lotfi B. Merabet	edu	Megan A. K. Peters	orig
Kayuet Liu	edu	Megan A. K. Peters	orig
Kayuet Liu	edu	Li Yan McCurdy	edu
Kayuet Liu	edu	Vincent Taschereau-Dumouchel	edu
Gary Lupyan	edu	Jason Samaha	orig
Emily J. Ward	orig	Gary Lupyan	edu
Emily J. Ward	orig	Monica D. Rosenberg	edu
Emily J. Ward	orig	Russell Epstein	edu
Emily J. Ward	orig	Marvin M. Chun	edu
Emily J. Ward	orig	Sean MacEvoy	edu
Bastien Boutonnet	nl	Gary Lupyan	edu
Bastien Boutonnet	nl	Jason Samaha	orig
Ce Liu	com	Edward H Adelson	edu
Ce Liu	com	Ruth Rosenholtz	orig
Ce Liu	com	Lavanya Sharan	edu
Edward H Adelson	edu	Yuanzhen Li	edu
Edward H Adelson	edu	Ruth Rosenholtz	orig
Lavanya Sharan	edu	Yuanzhen Li	edu
Lavanya Sharan	edu	Ruth Rosenholtz	orig
Dwight Kravitz	edu	Edward H Silson	uk
Dwight Kravitz	edu	Katherine L. Hermann	edu
Dwight Kravitz	edu	Simon Baron-Cohen	uk
Dwight Kravitz	edu	Jan Freyberg	com
Nancy Kanwisher	edu	Russell Epstein	edu
Ken Nakayama	edu	Michael A Cohen	orig
Ken Nakayama	edu	Patrick Cavanagh	ca
Ken Nakayama	edu	Mirta Stantic	uk
Ken Nakayama	edu	Marvin M. Chun	edu
Ken Nakayama	edu	Nancy Kanwisher	edu
Daniel C. Dennett	edu	Michael A Cohen	orig
Marvin M. Chun	edu	Michael A Cohen	orig
Marvin M. Chun	edu	Monica D. Rosenberg	edu
Marvin M. Chun	edu	Nancy Kanwisher	edu
Marvin M. Chun	edu	Patrick Cavanagh	ca
Juliana Y Rhee	edu	Michael A Cohen	orig
Melina Kunar	uk	Michael A Cohen	orig
Melina Kunar	uk	Todd Horowitz	gov
Bria Long	edu	Michael A Cohen	orig
Bria Long	edu	Talia Konkle	edu
Bria Long	edu	George A. Alvarez	edu
Bria Long	edu	Viola Störmer	edu
Mirta Stantic	uk	Talia Konkle	edu
Marte Otten	nl	Michael A Cohen	orig
Marte Otten	nl	Yair Pinto	nl
Caroline E Robertson	orig	Michael A Cohen	orig
Caroline E Robertson	orig	Jeff Mentch	edu
Caroline E Robertson	orig	Thomas L Botch	edu
Caroline E Robertson	orig	Katherine L. Hermann	edu
Caroline E Robertson	orig	Dwight Kravitz	edu
Caroline E Robertson	orig	Chris Baker	gov
Caroline E Robertson	orig	Nancy Kanwisher	edu
Caroline E Robertson	orig	Jan Freyberg	com
Caroline E Robertson	orig	Simon Baron-Cohen	uk
Caroline E Robertson	orig	Cibu Thomas	gov
Caroline E Robertson	orig	Greg Wallace	edu
Caroline E Robertson	orig	Edward H Silson	uk
Caroline E Robertson	orig	Mark Mikkelsen	edu
Caroline E Robertson	orig	Richard Edden	edu
Jeff Mentch	edu	Nancy Kanwisher	edu
Jeff Mentch	edu	Thomas L Botch	edu
Avram Holmes	edu	Monica D. Rosenberg	edu
Avram Holmes	edu	Emily J. Ward	orig
Russell Epstein	edu	Sean MacEvoy	edu
Ulrik R. Beierholm	uk	Wei Ji Ma / Whee Ky Ma	edu
Edward T Bullmore	uk	Simon Baron-Cohen	uk
Edward T Bullmore	uk	Prof. T.W. Robbins	uk
Edward T Bullmore	uk	Paul Fletcher	uk
Edward T Bullmore	uk	Philip Corlett	orig
Anthony G Hudetz	edu	George A. Mashour, M.D., Ph.D.	-
Anthony G Hudetz	edu	UnCheol Lee (이운철)	edu
Anthony G Hudetz	edu	Stefanie Blain-Moraes	ca
Anthony G Hudetz	edu	Giancarlo Vanini	orig
George A. Mashour, M.D., Ph.D.	-	UnCheol Lee (이운철)	edu
George A. Mashour, M.D., Ph.D.	-	Ralph Lydic	edu
George A. Mashour, M.D., Ph.D.	-	Giancarlo Vanini	orig
UnCheol Lee (이운철)	edu	Vijay Tarnal	edu
Stefanie Blain-Moraes	ca	UnCheol Lee (이운철)	edu
Bradley Voytek	edu	Robert Thomas Knight	edu
Bradley Voytek	edu	Jason Samaha	orig
Adam Gazzaley	edu	Bradley Voytek	edu
Adam Gazzaley	edu	Jason Samaha	orig
Bas Rokers	edu	Richard J Davidson	edu
Bas Rokers	edu	Regina Lapate	edu
Bas Rokers	edu	Benjamin Thompson	ca
Bas Rokers	edu	Jason Samaha	orig
Regina Lapate	edu	Richard J Davidson	edu
John D. Murray	edu	Xiao-Jing Wang	edu
John D. Murray	edu	Michael W. Cole	edu
John D. Murray	edu	John Krystal	edu
John D. Murray	edu	Philip Corlett	orig
John Krystal	edu	Xiao-Jing Wang	edu
John Krystal	edu	Philip Corlett	orig
Alan Anticevic	edu	Xiao-Jing Wang	edu
Alan Anticevic	edu	Michael W. Cole	edu
Alan Anticevic	edu	John D. Murray	edu
Alan Anticevic	edu	Grega Repovš	si
Alan Anticevic	edu	John Krystal	edu
Alan Anticevic	edu	Philip Corlett	orig
Grega Repovš	si	Xiao-Jing Wang	edu
Grega Repovš	si	Michael W. Cole	edu
Grega Repovš	si	John D. Murray	edu
Grega Repovš	si	Philip Corlett	orig
Michael W. Cole	edu	Xiao-Jing Wang	edu
Michael W. Cole	edu	Philip Corlett	orig
Pablo Torterolo	uy	Ralph Lydic	edu
Ralph Lydic	edu	Viviane Hambrecht-Wiedbusch	edu
Giancarlo Vanini	orig	UnCheol Lee (이운철)	edu
Giancarlo Vanini	orig	Ralph Lydic	edu
Giancarlo Vanini	orig	Helen A. Baghdoyan	edu
Giancarlo Vanini	orig	Pablo Torterolo	uy
Giancarlo Vanini	orig	Stefanie Blain-Moraes	ca
Giancarlo Vanini	orig	Vijay Tarnal	edu
Giancarlo Vanini	orig	Michael Avidan	edu
Giancarlo Vanini	orig	Max Kelz	edu
