source	sourceTitle	target	targetTitle
Jitendra Malik	-	Ruth Rosenholtz	orig
Alvin Raj	-	Ruth Rosenholtz	orig
Andrew Faulring	-	Ruth Rosenholtz	orig
Benjamin A Wolfe	-	Ruth Rosenholtz	orig
Bryan Reimer	-	Ruth Rosenholtz	orig
Ce Liu	-	Ruth Rosenholtz	orig
Patrick Baudisch	-	Ruth Rosenholtz	orig
Krista Ehinger	-	Ruth Rosenholtz	orig
Andrew Watson	-	Ruth Rosenholtz	orig
Anna A Kosovicheva	-	Ruth Rosenholtz	orig
Lex Fridman	-	Ruth Rosenholtz	orig
Nadja Schinkel-Bielefeld	-	Ruth Rosenholtz	orig
Bas Rokers	-	Jason Samaha	orig
Anil Seth	uk	Jason Samaha	orig
Anil Seth	uk	Steve Fleming	uk
Chris Frith	-	Philip Corlett	orig
Chris Frith	-	Steve Fleming	uk
Luke Clark	-	Prof. T.W. Robbins	uk
Luke Clark	-	Philip Corlett	orig
JD Knotts	-	Vincent Taschereau-Dumouchel	edu
Piercesare Grimaldi	-	Vincent Taschereau-Dumouchel	edu
Adam Gazzaley	-	Jason Samaha	orig
Brice Kuhl	-	Emily J. Ward	orig
Bradley R. Postle	-	Jason Samaha	orig
Colin Reveley	-	Jason Samaha	orig
David A Leopold	-	Jason Samaha	orig
Gary Lupyan	-	Jason Samaha	orig
Bastien Boutonnet	-	Jason Samaha	orig
David Melcher	-	Jason Samaha	orig
Bradley Voytek	-	Jason Samaha	orig
Paul Fletcher	-	Prof. T.W. Robbins	uk
Paul Fletcher	-	Philip Corlett	orig
Alex Martin	-	Caroline E Robertson	orig
Anna Mynick	-	Caroline E Robertson	orig
A.J. Haskins	-	Caroline E Robertson	orig
Brian Mullen	-	Brian Odegaard	orig
Giancarlo Vanini	orig	Helen A. Baghdoyan	-
Giancarlo Vanini	orig	Ralph Lydic	-
Giancarlo Vanini	orig	Pablo Torterolo	-
Giancarlo Vanini	orig	Stefanie Blain-Moraes	-
Giancarlo Vanini	orig	Vijay Tarnal	-
Giancarlo Vanini	orig	Michael Avidan	-
Giancarlo Vanini	orig	Max Kelz	-
Giancarlo Vanini	orig	UnCheol Lee (이운철)	-
Giancarlo Vanini	orig	Viviane Hambrecht-Wiedbusch	-
Anthony G Hudetz	-	Giancarlo Vanini	orig
Emily J. Ward	orig	Marvin M. Chun	-
Emily J. Ward	orig	Gary Lupyan	-
Emily J. Ward	orig	Russell Epstein	-
Emily J. Ward	orig	Monica D. Rosenberg	-
Emily J. Ward	orig	Sean MacEvoy	-
Brian Scholl	-	Emily J. Ward	orig
Adam Chekroud	-	Emily J. Ward	orig
Adam Chekroud	-	Philip Corlett	orig
Avram Holmes	-	Emily J. Ward	orig
Philip Corlett	orig	Prof. T.W. Robbins	uk
Philip Corlett	orig	Xiao-Jing Wang	edu
Philip Corlett	orig	Sarah Kathryn Fineberg	-
Dr G. Murray	-	Philip Corlett	orig
Albert Powers, M.D., Ph.D.	-	Philip Corlett	orig
Anthony Absalom	-	Philip Corlett	orig
Anthony Dickinson	-	Philip Corlett	orig
Mike Aitken-Deakin	-	Philip Corlett	orig
P.B. Jones	-	Philip Corlett	orig
David Shanks	-	Philip Corlett	orig
